FID,x,y,lineament_dens,drainage_dens,curah_hujan,litologi,slope,elevasi,potensi
1,108.1375,-7.4409,0.416742,169.963,250,Batuan_Sedimen,3,5,Baik
2,108.1426,-7.4409,0.416742,169.963,250,Batuan_Sedimen,2,6,Baik
3,108.1476,-7.4409,0.443628,169.963,250,Batuan_Sedimen,2,6,Baik
4,108.1526,-7.4409,0.470515,169.963,250,Batuan_Sedimen,1,6,Baik
5,108.1576,-7.4409,0.497401,169.963,250,Batuan_Sedimen,2,6,Baik
6,108.1626,-7.4409,0.524288,169.963,250,Batuan_Sedimen,2,6,Baik
7,108.1676,-7.4409,0.551174,169.963,250,Batugamping,2,6,Buruk
8,108.1726,-7.4409,0.551174,189.9586,250,Batugamping,3,6,Buruk
9,108.1776,-7.4409,0.578061,189.9586,250,Batugamping,3,5,Buruk
10,108.1826,-7.4409,0.578061,189.9586,250,Alluvial,3,4,Baik
11,108.1876,-7.4409,0.604948,209.9543,250,Alluvial,1,4,Baik
12,108.1926,-7.4409,0.604948,209.9543,250,Batuan_Sedimen,2,3,Baik
13,108.1976,-7.4409,0.604948,209.9543,250,Batigamping,2,4,Buruk
14,108.2027,-7.4409,0.604948,229.9499,250,Batigamping,2,4,Buruk
15,108.2077,-7.4409,0.604948,229.9499,250,Batuan_Sedimen,1,5,Baik
16,108.2127,-7.4409,0.604948,229.9499,250,Batuan_Sedimen,2,5,Baik
17,108.2177,-7.4409,0.578061,229.9499,250,Batuan_Sedimen,2,5,Baik
18,108.2227,-7.4409,0.578061,229.9499,250,Batuan_Sedimen,2,5,Baik
19,108.2277,-7.4409,0.551174,229.9499,250,Batuan_Sedimen,3,5,Baik
20,108.2327,-7.4409,0.524288,229.9499,250,Batuan_Sedimen,3,6,Baik
21,108.2377,-7.4409,0.497401,229.9499,250,Batuan_Sedimen,3,6,Baik
22,108.2427,-7.4409,0.470515,249.9456,250,Batuan_Sedimen,2,7,Baik
23,108.2477,-7.4409,0.443628,249.9456,250,Batuan_Sedimen,1,7,Baik
24,108.2527,-7.4409,0.416742,269.9412,250,Batuan_Sedimen,3,6,Baik
25,108.2577,-7.4409,0.389855,269.9412,250,Batuan_Sedimen,3,6,Baik
26,108.2627,-7.4409,0.362969,289.9369,250,Batuan_Sedimen,2,5,Baik
27,108.2678,-7.4409,0.362969,309.9325,250,Batuan_Sedimen,3,6,Baik
28,108.2728,-7.4409,0.362969,309.9325,250,Batuan_Sedimen,3,6,Baik
29,108.2778,-7.4409,0.389855,309.9325,250,Batuan_Sedimen,2,7,Baik
30,108.2828,-7.4409,0.416742,329.9282,250,Batuan_Sedimen,3,7,Baik
31,108.2878,-7.4409,0.443628,329.9282,250,Volkanoklastik,2,8,Baik
32,108.2928,-7.4409,0.497401,329.9282,250,Volkanoklastik,4,8,Baik
33,108.2978,-7.4409,0.524288,329.9282,250,Volkanoklastik,3,10,Baik
34,108.3028,-7.4409,0.551174,329.9282,250,Volkanoklastik,4,11,Baik
35,108.3078,-7.4409,0.578061,349.9238,250,Volkanoklastik,3,12,Baik
36,108.3128,-7.4409,0.578061,349.9238,250,Volkanoklastik,3,13,Baik
37,108.3178,-7.4409,0.578061,349.9238,250,Volkanoklastik,5,13,Baik
38,108.3228,-7.4409,0.551174,369.9194,250,Volkanoklastik,3,13,Baik
39,108.3278,-7.4409,0.551174,369.9194,250,Volkanoklastik,5,12,Baik
40,108.3329,-7.4409,0.524288,369.9194,250,Volkanoklastik,4,10,Baik
41,108.3379,-7.4409,0.524288,369.9194,250,Volkanoklastik,3,9,Baik
42,108.3429,-7.4409,0.497401,369.9194,250,Volkanoklastik,3,8,Baik
43,108.3479,-7.4409,0.497401,349.9238,250,Volkanoklastik,3,8,Baik
44,108.3529,-7.4409,0.497401,349.9238,250,Volkanoklastik,3,7,Baik
45,108.1375,-7.43723,0.443628,169.963,250,Batuan_Sedimen,2,6,Baik
46,108.1426,-7.43723,0.443628,169.963,250,Batuan_Sedimen,2,6,Baik
47,108.1476,-7.43723,0.470515,169.963,250,Batuan_Sedimen,2,6,Baik
48,108.1526,-7.43723,0.497401,169.963,250,Batuan_Sedimen,1,6,Baik
49,108.1576,-7.43723,0.524288,169.963,250,Batuan_Sedimen,2,6,Baik
50,108.1626,-7.43723,0.551174,169.963,250,Batuan_Sedimen,2,6,Baik
51,108.1676,-7.43723,0.578061,169.963,250,Batuan_Sedimen,3,6,Baik
