FID,x,y,lineament_dens,drainage_dens,curah_hujan,slope,elevasi,litologi_Alluvial,litologi_Batigamping,litologi_Batuan_Sedimen,litologi_Batugamping,litologi_Breksi_Gunung_Api,litologi_Breksi_dan_Piroklastik_Muda,litologi_Breksi_dan_Piroklastik_Tua,litologi_Volkanoklastik,potensi
1,108.1375,-7.4409,0.416742,169.963,250,3,5,0,0,1,0,0,0,0,0,1
2,108.1426,-7.4409,0.416742,169.963,250,2,6,0,0,1,0,0,0,0,0,1
3,108.1476,-7.4409,0.44362799999999997,169.963,250,2,6,0,0,1,0,0,0,0,0,1
4,108.1526,-7.4409,0.47051499999999996,169.963,250,1,6,0,0,1,0,0,0,0,0,1
5,108.1576,-7.4409,0.49740100000000004,169.963,250,2,6,0,0,1,0,0,0,0,0,1
6,108.1626,-7.4409,0.524288,169.963,250,2,6,0,0,1,0,0,0,0,0,1
7,108.1676,-7.4409,0.5511739999999999,169.963,250,2,6,0,0,0,1,0,0,0,0,0
8,108.1726,-7.4409,0.5511739999999999,189.9586,250,3,6,0,0,0,1,0,0,0,0,0
9,108.1776,-7.4409,0.5780609999999999,189.9586,250,3,5,0,0,0,1,0,0,0,0,0
10,108.1826,-7.4409,0.5780609999999999,189.9586,250,3,4,1,0,0,0,0,0,0,0,1
11,108.1876,-7.4409,0.6049479999999999,209.9543,250,1,4,1,0,0,0,0,0,0,0,1
12,108.1926,-7.4409,0.6049479999999999,209.9543,250,2,3,0,0,1,0,0,0,0,0,1
13,108.1976,-7.4409,0.6049479999999999,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
14,108.2027,-7.4409,0.6049479999999999,229.9499,250,2,4,0,1,0,0,0,0,0,0,0
15,108.2077,-7.4409,0.6049479999999999,229.9499,250,1,5,0,0,1,0,0,0,0,0,1
16,108.2127,-7.4409,0.6049479999999999,229.9499,250,2,5,0,0,1,0,0,0,0,0,1
17,108.2177,-7.4409,0.5780609999999999,229.9499,250,2,5,0,0,1,0,0,0,0,0,1
18,108.2227,-7.4409,0.5780609999999999,229.9499,250,2,5,0,0,1,0,0,0,0,0,1
19,108.2277,-7.4409,0.5511739999999999,229.9499,250,3,5,0,0,1,0,0,0,0,0,1
20,108.2327,-7.4409,0.524288,229.9499,250,3,6,0,0,1,0,0,0,0,0,1
21,108.2377,-7.4409,0.49740100000000004,229.9499,250,3,6,0,0,1,0,0,0,0,0,1
22,108.2427,-7.4409,0.47051499999999996,249.9456,250,2,7,0,0,1,0,0,0,0,0,1
